"VitusVet","-","-","11 to 50","-","-"
"CORTEX","-","2008","11 to 50","-","Retail & Wholesale"
"NeuroFlow","-","2016","11 to 50","-","-"
"BellaDati","-","-","11 to 50","-","Information Technology"
"Visix","-","-","-","-","-"
"AllWork","-","-","11 to 50","-","Information Technology"
"Datavore","-","-","-","-","-"
"Invisibly","-","-","-","-","-"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"DOTCMS","-","-","11 to 50","-","-"
"Revuze","-","-","less than
10","-","-"
"STATE OF PLACE","-","-","11 to 50","-","-"
"FancyHands","-","-","-","-","-"
"Redline Trading Solutions","-","-","-","-","-"
"KWIPPED","-","-","11 to 50","-","Financial Services"
"Mediabids","-","-","-","-","-"
"Blockparty","-","-","-","-","-"
"Owl Analytics","-","-","-","-","-"
"Connected Mind","-","-","-","-","-"
"Integrify","-","-","-","-","-"
"Spent","-","-","11 to 50","-","-"
"14bis Supply Tracking","-","-","11 to 50","-","-"
"iVEDiX","-","-","11 to 50","$1M to $5M (USD)","-"
"Chaikin Analytics","-","-","11 to 50","$1M to $5M (USD)","-"
"Densify","-","1999","51 to 200","$5M to $25M (USD)","-"
"oneQube","-","-","less than
10","less than
$1M (USD)","-"
"OUTLAW","-","1997","1001 to 5,000","$25M to $100M (USD)","-"
"DealFlow Financial Products, Inc.","-","-","11 to 50","-","Financial Services"
"WEGO Health","-","2007","51 to 200","-","-"
"Allstacks","-","-","11 to 50","-","-"
"Humantelligence","-","-","-","-","-"
"Guidevine","-","-","less than
10","-","-"
"Carepool","-","-","-","-","-"
"Chargebacks911","-","-","201 to 500","-","Financial Services"
"Accushield","-","-","11 to 50","-","-"
"First Performance","-","-","-","-","-"
"Wellsmith","-","2016","11 to 50","-","Information Technology"
"Finario","-","2011","11 to 50","-","-"
"Apruve","-","2013","11 to 50","-","-"
"Iterative Scopes","-","-","11 to 50","-","Healthcare"
"Whistic","-","-","-","-","-"
"treatspace","-","-","-","-","-"
"BurnAlong","-","-","11 to 50","-","-"
"CityTwist","-","2003","11 to 50","-","-"
"Somnoware","-","-","-","-","-"
"MediBookr","-","-","-","-","-"
"Vijilan Security","-","2014","11 to 50","$1M to $5M (USD)","-"
"Quaero","-","1999","51 to 200","$5M to $25M (USD)","-"
"Rybbon","-","2015","11 to 50","-","-"
"Complete Intelligence","-","-","-","-","-"
"Lapetus Solutions","-","2015","11 to 50","-","-"
"AG Mednet","-","-","-","-","-"
"Carfeine","-","-","-","-","-"
"Armored Things","-","-","-","-","-"
"KoiReader","-","-","-","-","-"
"TransVoyant","-","-","-","-","-"
"Lumesis, Inc","-","-","-","-","-"
"PredictiveHR","-","-","-","-","-"
"PacketViper","-","-","-","-","-"
"Heureka Software","-","2014","11 to 50","-","-"
"CrossBorder Solutions","-","-","51 to 200","$5M to $25M (USD)","Information Technology"
"Enertiv","-","-","11 to 50","-","-"
"FairyGodBoss","Georgene Huang","-","11 to 50","-","Information Technology"
"Inova Software","-","2010","11 to 50","$1M to $5M (USD)","-"
"Bespokino","-","-","-","-","-"
"Quikly","-","2012","less than
10","less than
$1M (USD)","-"
"Bellwethr","-","-","11 to 50","-","-"
"ClairVista","-","-","11 to 50","$1M to $5M (USD)","-"
"Mailigen","-","-","-","-","-"
"Graylog","-","-","-","-","-"
"Worklytics","-","-","-","-","-"
"CivicScience","-","-","11 to 50","-","Information Technology"
"Medicom","-","1988","51 to 200","$1M to $5M (USD)","-"
"REPLY","-","1996","5,001 to 10,000","$1B to $5B (USD)","Information Technology"
"PICO","-","-","-","-","-"
"Brytemap","-","-","-","-","-"
"MapLarge","-","-","11 to 50","-","-"
"Keel","-","-","11 to 50","-","-"
"Hubstaff","-","-","11 to 50","-","-"
"Private Machines Inc.","-","-","-","-","-"
"Lumo","-","-","11 to 50","-","Manufacturing"
"EightSpokes","-","-","-","-","-"
"LeoForce","-","2014","51 to 200","-","-"
"Veryable","-","2016","11 to 50","-","Manufacturing"
"Heretik","-","-","-","-","-"
"Medocity","-","-","-","-","-"
"SpiderOak","-","-","less than
10","less than
$1M (USD)","-"
"Mouth Foods","-","2012","less than
10","less than
$1M (USD)","-"
"Cross Pixel Media","-","-","11 to 50","-","-"
"Braavo Capital","-","-","-","-","-"
"Salesvue","-","-","11 to 50","-","-"
"PipelineDeals, Inc","-","-","-","-","-"
"Opportunity","-","-","-","-","-"
"Crosscode","-","-","-","-","-"
"The Search Monitor","-","-","11 to 50","-","Information Technology"
"Oncora Medical","-","-","less than
10","-","Healthcare"
"Finch","-","-","less than
10","-","Media & Communication"
"SaaSOptics","-","2009","11 to 50","$1M to $5M (USD)","-"
"Return Logic","-","-","11 to 50","-","-"
"Fraud.net","-","-","51 to 200","-","Information Technology"
"Upsider","-","2015","less than
10","-","Information Technology"
"MarketPsych","-","-","-","-","-"
"Health Media Network","-","2007","11 to 50","$1M to $5M (USD)","-"
"Rhinogram","-","-","11 to 50","-","-"
"livepeer","-","-","-","-","-"
"SECONDWRITE","-","-","-","-","-"
"ToursByLocals","Paul Melhus","2008","51 to 200","-","Restaurants, Travel and Leisure"
"Deck Commerce","-","1998","11 to 50","-","-"
"REBAR SYSTEMS LLC","-","-","51 to 200","-","-"
"WealthCare","-","-","11 to 50","-","-"
"Localize.city","-","2012","51 to 200","-","-"
"RentRedi","-","-","-","-","-"
"Square 9 Softworks","-","2006","11 to 50","$5M to $25M (USD)","Information Technology"
"LendPro LLC","-","-","11 to 50","-","-"
"Berkeley Payment Solutions","-","-","11 to 50","-","-"
"Voxie","-","-","-","-","-"
"Upper Hand","-","2012","11 to 50","less than
$1M (USD)","-"
"Sol","-","-","-","-","Wholesale"
"PDQ Enterprises","-","-","-","-","-"
"Vyasa","-","-","11 to 50","-","-"
"CareStarter","-","-","-","-","-"
"Fenris","-","-","11 to 50","-","-"
"Vitals Aware Services","-","-","-","-","-"
"nanoPay","-","-","-","-","-"
"Ally Commerce","-","2013","11 to 50","-","-"
"Net-Results","-","-","-","-","-"
"Akumina","-","2015","51 to 200","-","-"
"OpenClinica","-","2006","11 to 50","$1M to $5M (USD)","-"
"Exaptive","-","-","-","-","-"
"MentorcliQ","-","2012","less than
10","less than
$1M (USD)","-"
"RumbleUp","-","-","-","-","-"
"SmartHop","-","-","-","-","-"
"PharMethod","-","-","51 to 200","-","-"
"Warble","-","-","-","-","-"
"Edquity","-","-","11 to 50","-","-"
"Aliaswire","-","-","-","-","-"
"OnFrontiers","-","2014","less than
10","-","-"
"Invessence","-","-","-","-","-"
"Jetpack Workflow","-","-","-","-","-"
"praos health","-","-","-","-","-"
"EMX Digital","-","-","51 to 200","-","-"
"PerQ","-","-","51 to 200","-","Information Technology"
"Fundamental Interactions","-","-","-","-","-"
"CINCH","-","-","-","-","Transportation Management"
"Arable","-","-","-","-","-"
"Panorays","-","-","-","-","-"
"LEVEL","Adrian Provost","-","11 to 50","$1B to $5B (USD)","Real Estate"
"RentTrack","-","-","-","-","-"
"MobiPaid","-","-","-","-","-"
"Priori Legal","-","2012","less than
10","less than
$1M (USD)","-"
"Open Sponsorship","-","-","-","-","-"
"Decision Lens","-","2002","51 to 200","$25M to $100M (USD)","-"
"Advanse","-","-","-","-","-"
"Junum","-","-","-","-","-"
"MarketWare","-","-","-","-","-"
"eQUIP","-","-","less than
10","-","Manufacturing"
"Fooji","-","2015","51 to 200","less than
$1M (USD)","-"
"Covalent Networks","-","-","-","-","-"
"Lunatix","-","-","-","-","-"
"Scanalytics","-","-","-","-","-"
"AkitaBox","-","2015","less than
10","-","-"
"YouTurn","-","-","less than
10","less than
$1M (USD)","-"
"Groupize","-","-","11 to 50","-","-"
"CloserIQ","Jordan Wan","2014","11 to 50","$1M to $5M (USD)","Human Resources & Staffing"
"Bayshore Networks","-","-","11 to 50","$1M to $5M (USD)","-"
"Biovista","-","-","-","-","-"
"FormFire","-","-","-","-","-"
"eG Innovations","-","-","-","-","Information Technology Support Services"
"ordway","-","-","-","-","-"
"SocialMadeSimple","-","2009","11 to 50","-","Media & Communication"
"Preferhired","-","-","11 to 50","-","Healthcare"
"Payfully","-","-","-","-","-"
"Audicus","-","2012","less than
10","less than
$1M (USD)","-"
"Figo Pet Insurance","-","-","11 to 50","-","-"
"Clearsurance","-","2016","less than
10","less than
$1M (USD)","Insurance"
"Solidopinion","-","-","11 to 50","-","-"
"FanThreeSixty","-","2011","11 to 50","$1M to $5M (USD)","-"
"Luckydiem","-","-","-","-","-"
"LAYR","-","2016","11 to 50","-","-"
"Unbound Medicine","-","-","11 to 50","$1M to $5M (USD)","-"
"Kleermail","-","2012","11 to 50","-","-"
"CardFlight","-","2013","11 to 50","less than
$1M (USD)","Information Technology"
"Boost Insurance","-","2017","11 to 50","-","Insurance"
"Link Labs","-","-","11 to 50","less than
$1M (USD)","Telecommunications"
"Financial Apps","-","-","-","-","-"
"Lean Media","-","-","-","-","-"
"Onevest","-","-","-","-","-"
"Provenir","-","1992","51 to 200","-","-"
"Opturo","-","-","-","-","-"
"Coinigy","-","-","-","-","-"
"NYM","-","-","-","-","-"
"Arturo","-","-","-","-","-"
"Localist","-","2011","51 to 200","-","-"
"Narrative I/O","-","-","-","-","-"
"Clean Hands Safe Hands","-","2013","11 to 50","-","-"
"FutureVault","-","-","-","-","-"
"Index Engines","-","-","-","-","-"
"Blockdaemon","-","-","11 to 50","-","-"
"InformAI","-","-","-","-","Healthcare"
"ID R&D","-","-","-","-","-"
"PartnerStack","-","-","11 to 50","-","-"
"service.com","-","-","11 to 50","-","-"
"VeryApt","-","2014","less than
10","-","-"
"Loyalty Builders","-","-","11 to 50","-","-"
"Align","-","-","11 to 50","-","Healthcare"
"Section","-","2012","less than
10","less than
$1M (USD)","-"
"Acreto","Babak Pasdar","-","11 to 50","-","Information Technology"
"Blue Triangle Technologies","-","2011","less than
10","less than
$1M (USD)","-"
"Orderly Health","-","-","-","-","-"
"Adlumin Inc.","-","-","-","-","Information Technology"
"Senscio Systems","-","-","less than
10","$1M to $5M (USD)","-"
"Heart Imaging Technologies","-","-","less than
10","less than
$1M (USD)","-"
"Mavenomics","-","-","-","-","-"
"CONTACTMONKEY","-","-","-","-","-"
"RAP Index","-","-","-","-","-"
"Seamless.AI","-","-","11 to 50","-","-"
"Tonic Fitness","-","-","-","-","Restaurants & Food Service"
"BlytzPay","-","2017","11 to 50","-","-"
"Fortress","-","1998","11 to 50","more than
$10B (USD)","Nonprofit & NGO"
"OneMedNet","-","-","-","-","-"
"Calldrip","-","2005","11 to 50","less than
$1M (USD)","-"
"Arvizio","-","-","-","-","-"
"Squaremouth","-","2003","11 to 50","$1M to $5M (USD)","Insurance"
"topl","-","-","-","-","-"
"MphRx","-","-","-","-","-"
"Eyrus","-","-","-","-","Information Technology"
"Qwasi","-","-","less than
10","less than
$1M (USD)","-"
"betterPT","-","-","-","-","-"
"Block Six Analytics","-","-","11 to 50","-","-"
"Quarule","-","-","-","-","-"
"DynamiCare Health","-","-","11 to 50","-","-"
"Finzly","-","-","-","-","-"
"BasicBlock","-","-","-","-","-"
"PAPERSPACE","-","2014","less than
10","-","Information Technology"
"Sharalike","-","-","-","-","-"
"Singlewire Software","-","2009","51 to 200","$5M to $25M (USD)","-"
"VaxCare","-","-","11 to 50","$5M to $25M (USD)","-"
"BlockApps","-","-","-","-","-"
"PaperSave","-","-","11 to 50","-","-"
"Gain Life","-","-","-","-","-"
"AKOS","-","1969","51 to 200","$5M to $25M (USD)","Consulting and Business Services"
"Fenror7","-","-","-","-","-"
"ClearBlade","-","2007","11 to 50","$1M to $5M (USD)","-"
"Prodigy Network","-","2013","51 to 200","-","-"
"AddShoppers","-","2011","11 to 50","-","-"
"Gameface Media","-","-","less than
10","less than
$1M (USD)","-"
"SmartCommerce","-","-","11 to 50","-","-"
"Morty","-","-","-","-","-"
"Extend After School Care","-","-","501 to 1,000","-","Education"
"Blackfynn","-","-","11 to 50","-","-"
"Boostopia","-","2016","11 to 50","-","-"
"Callision","-","-","-","-","-"
"Vidizmo","-","-","-","-","-"
"CN2","-","-","-","-","-"
"TPA Stream","-","-","-","-","-"
"Circonus","-","-","-","-","Information Technology"
"Netra","-","-","-","-","-"
"SaRA Health","-","-","11 to 50","-","-"
"Cloudfuze","-","-","-","-","-"
"THINKMD","Barry Finette","-","11 to 50","-","Healthcare"
"Bioscape Digital","-","-","11 to 50","-","-"
"Cloze","-","-","11 to 50","-","-"
"eXalt Solutions","-","-","less than
10","less than
$1M (USD)","-"
"echoBase","-","-","-","-","-"
"Adva Mobile","-","-","-","-","-"
"knack","-","-","less than
10","-","-"
"Myota","-","-","-","-","-"
"RoboMQ","-","2012","11 to 50","$1M to $5M (USD)","-"
"VIIHEALTH","-","-","-","-","-"
"Wastebits","-","2012","less than
10","less than
$1M (USD)","Information Technology"
"Frame Health","-","-","-","-","-"
"TypingDNA","-","-","-","-","-"
"Wodify","-","2012","51 to 200","$1M to $5M (USD)","-"
"PowerToFly","-","2014","11 to 50","$1M to $5M (USD)","-"
"Provi","-","-","11 to 50","-","-"
"CariClub","-","-","11 to 50","-","-"
"Skyland Analytics","-","2015","11 to 50","-","-"
"CivicHealth","-","-","11 to 50","-","-"
"Care Thread","-","-","-","-","-"
"Retrium","-","-","-","-","-"
"Via Transportation","-","2012","51 to 200","less than
$1M (USD)","Transportation & Logistics"
"NopSec","-","-","-","-","-"
"Unity FI Solutions","-","-","-","-","-"
"coUrbanize","-","-","-","-","-"
"PerPay","-","-","-","-","-"
"Stuzo","-","-","11 to 50","less than
$1M (USD)","-"
"aclaimant","-","-","11 to 50","-","-"
"Rewardian","-","-","-","-","-"
"Honeycomb Credit","-","-","11 to 50","-","-"
"GenomOncology","-","-","less than
10","less than
$1M (USD)","-"
"Vector Networks","-","-","11 to 50","$1M to $5M (USD)","-"
"Jitjatjo","-","2016","11 to 50","-","Hospitals & Health Clinics"
"King & Union","-","2016","11 to 50","-","-"
"CyberPoint","-","-","51 to 200","-","-"
"Neurotrax","-","-","-","-","-"
"UPONIT","-","-","-","-","-"
"Finsight Group","-","-","-","-","-"
"FinPay","-","-","11 to 50","-","-"
"LUDI","-","-","11 to 50","-","-"
"Healthy Bytes","Mary Jo Gorman, MD, MBA","-","11 to 50","-","Healthcare"
"Smartlink Health Solutions","-","2012","-","-","-"
"shiftone","-","-","-","-","-"
"Ampogee","-","-","-","-","-"
"Kognetics","-","-","11 to 50","-","-"
"Infegy","-","2006","less than
10","less than
$1M (USD)","-"
"BillMo","-","-","11 to 50","-","-"
"cloverleaf","-","-","11 to 50","-","Bars & Nightclubs"
"POLARITY","-","-","11 to 50","$5M to $25M (USD)","-"
"robin8","-","-","-","-","-"
"SightPlan","-","-","11 to 50","-","-"
"SmartProcure","-","-","less than
10","$1M to $5M (USD)","-"
"glasssquid.io","-","2017","11 to 50","-","-"
"UBERDOC","-","-","-","-","Healthcare"
"Bizly","-","2015","less than
10","less than
$1M (USD)","-"
"Viewbix","-","-","11 to 50","-","-"
"eGifter","-","2012","less than
10","less than
$1M (USD)","-"
"Sift Healthcare","-","-","-","-","Information Technology"
"Sematext","-","-","-","-","-"
"DelphX","-","-","-","-","-"
"Koyfin","-","-","11 to 50","-","-"
"Spotluck Inc.","Cherian Thomas","-","11 to 50","-","Information Technology"
"Hello Health","-","2007","51 to 200","-","-"
"Talis Clinical","GARY COLISTER","2013","11 to 50","$1M to $5M (USD)","Internet & Web Services"
"VeriSolutions","-","-","-","-","-"
"InFlight","-","-","-","-","-"
"Volantio","-","-","-","-","-"
"ReconArt","-","-","51 to 200","-","Financial Services"
"COMEET","-","2013","11 to 50","-","-"
"Revegy","-","-","-","-","-"
"Edulence","-","-","-","-","-"
"GlassView","-","2015","11 to 50","less than
$1M (USD)","Media & Communication"
"Dorsata","-","-","-","-","-"
"Corlytics","-","-","-","-","-"
"Limelight Platform","-","2014","11 to 50","-","Information Technology"
"Encentiv Energy","-","-","-","-","-"
"Peanut Butter","-","-","-","-","-"
"Limbik","-","-","11 to 50","-","-"
"Trade Area Systems","-","-","11 to 50","-","-"
"ArrayFire","-","-","-","-","-"
"SolveBio","-","-","-","-","-"
"Storage Engine, Inc.","-","-","11 to 50","$5M to $25M (USD)","-"
"MEDIA TRUST","-","-","1001 to 5,000","-","-"
"ClaimVantage","-","2006","11 to 50","$1M to $5M (USD)","-"
"CIEN","-","-","-","-","-"
"ComplyGlobal","-","-","-","-","-"
"Identity Automation","-","2004","11 to 50","$1M to $5M (USD)","-"
"LimeBox Networks","-","-","11 to 50","-","-"
"Tunespeak","-","-","11 to 50","-","-"
"Measurence","-","2014","11 to 50","-","-"
"Sober Grid","-","-","-","-","-"
"Thinknum","-","-","-","-","-"
"Realvolve","-","2014","11 to 50","$1M to $5M (USD)","-"
"thingtech","-","-","-","-","Information Technology"
"lendingfront.com","-","-","11 to 50","-","-"
"Prevailion","-","-","-","-","-"
"Parsec Media","-","-","-","-","-"
"Bankjoy","-","-","-","-","-"
"Likeable Local","-","2012","11 to 50","-","-"
"Simplifeye","-","2013","11 to 50","-","Healthcare"
"Jump Ramp Games","-","-","11 to 50","less than
$1M (USD)","-"
"CURATA","-","-","less than
10","-","Information Technology"
"Keatext","-","-","11 to 50","-","Software Development"
"Zoe Financial","-","-","11 to 50","-","-"
"Ribbon Health","-","-","-","-","-"
"doDOC","-","-","-","-","-"
"HelloHome","-","-","-","-","-"
"CountWise","-","-","11 to 50","$1M to $5M (USD)","-"
"Lucena Research","-","-","less than
10","less than
$1M (USD)","-"
"Odd Networks","-","-","less than
10","less than
$1M (USD)","-"
"Echoworx","-","-","11 to 50","$1M to $5M (USD)","-"
"X-Mode","-","-","-","-","-"
"Cooleaf","-","-","less than
10","less than
$1M (USD)","-"
"Payrailz","-","-","-","-","-"
"Bookkeeping Express","-","1984","51 to 200","less than
$1M (USD)","Financial Services"
"Truckish","-","-","less than
10","-","Transportation & Logistics"
"Brandzooka","-","2015","11 to 50","-","-"
"Plum Group","-","2000","11 to 50","$1M to $5M (USD)","-"
"INPENSA","-","-","11 to 50","$1M to $5M (USD)","-"
"CallTrackingMetrics","Todd Fisher","2010","51 to 200","$5M to $25M (USD)","Telecommunications"
"LENDINGSTANDARD","-","-","11 to 50","-","-"
"QuotaPath","-","2018","11 to 50","-","-"
"Aislelabs","-","-","-","-","Information Technology"
"ChannelApe","Mike Averto","-","less than
10","-","Information Technology"
"WellTrackOne","-","-","less than
10","less than
$1M (USD)","-"
"envio","-","-","-","-","-"
"Reconstruct","-","2015","11 to 50","-","-"
"Avant-garde Health","-","-","11 to 50","-","-"
"Wallaroo Labs","-","-","-","-","-"
"Photofy","-","-","less than
10","less than
$1M (USD)","-"
"Gentag","-","-","-","-","-"
"PlusNetMarketing","-","-","-","-","-"
"LogicFI","-","-","-","-","-"
"nuvola","-","-","less than
10","less than
$1M (USD)","-"
"Prevail Health","-","-","less than
10","less than
$1M (USD)","-"
"Findyr","-","2014","11 to 50","-","-"
"Faraday","-","-","11 to 50","-","-"
"Peer Software","-","-","-","-","-"
"SingleOps","-","-","-","-","-"
"Precise Telehealth","-","-","-","-","-"
"Bainbridge Health","-","-","-","-","-"
"Global Pricing Solutions","-","-","-","-","-"
"Qlarion","-","-","11 to 50","-","-"
"Axletree Solutions","-","-","less than
10","$1M to $5M (USD)","-"
"IMAGINESTICS","-","-","-","-","-"
"Greenlight Guru","-","-","-","-","-"
"MetiStream","-","-","less than
10","-","-"
"Nudge.ai","-","-","-","-","-"
"SAY","-","2017","11 to 50","-","-"
"Decision Point Healthcare Solutions","-","-","-","-","-"
"engageSimply","-","2012","less than
10","-","-"
"Finhabits","-","-","-","-","-"
"Less Annoying CRM","-","2009","11 to 50","-","-"
"UpShift","-","-","201 to 500","-","-"
"Align Today","-","-","-","-","-"
"RS Metrics","-","-","-","-","-"
"Docket","-","2016","51 to 200","-","-"
"SYLO","-","-","-","-","-"
"Sc2 Corp","-","-","-","-","-"
"PatientWing","-","-","-","-","-"
"access.mobile","-","-","-","-","-"
"INTELLO","-","2017","11 to 50","-","-"
"2interact","-","-","-","-","-"
"NorthPage Inc","-","-","-","-","-"
"TreSensa","-","-","-","-","-"
"Enable My Child","-","-","-","-","-"
"Bombora","-","-","-","-","-"
"Clear Software","Jon Gilman","-","11 to 50","-","Information Technology"
"FactoryFour","-","2015","11 to 50","-","-"
"Adcuratio","-","-","-","-","-"
"ValidiFI","-","2015","11 to 50","-","Information Technology"
"ehumanlife","-","-","-","-","-"
"Kwant","-","-","-","-","-"
"Halo Health Systems","-","-","-","-","-"
"Tenna","-","-","less than
10","less than
$1M (USD)","-"
"joinery","-","-","-","-","-"
"Ostendio","-","2013","11 to 50","-","-"
"Buzzr","-","-","-","-","-"
"surepeople","-","-","11 to 50","-","-"
"Wetradetogether","-","-","-","-","-"
"dMetrics","-","-","less than
10","less than
$1M (USD)","-"
"STEM Lending","-","2017","11 to 50","-","-"
"New Constructs","-","2002","less than
10","less than
$1M (USD)","-"
"Ceras Health, Inc.","-","-","11 to 50","-","-"
"Iris Telehealth","-","2013","51 to 200","$5M to $25M (USD)","Healthcare"
"Vodi","-","-","-","-","-"
"WalletFi","Alain Glanzman","-","less than
10","-","Financial Services"
"Eversafe","-","-","-","-","-"
"Juice Analytics","-","2005","less than
10","less than
$1M (USD)","-"
"HYR","-","-","11 to 50","-","-"
"Fakespot","-","-","-","-","Information Technology"
"Datalogue","-","-","11 to 50","-","-"
"CaptureCode","-","-","-","-","-"
"SimSpace","-","-","-","-","-"
"Fascet","-","-","-","-","-"
"Larky","-","-","11 to 50","-","-"
"SocialRank","-","-","11 to 50","-","-"
"Point3 Security","-","-","-","-","-"
"PowerPost","-","2016","11 to 50","-","-"
"Fusemachines","-","-","51 to 200","-","-"
"LeadLife Solutions","-","-","-","-","-"
"Trucker Tools","-","-","11 to 50","-","-"
"ethosIQ","-","-","-","-","-"
"Neocova","Sultan Meghji","-","11 to 50","less than
$1M (USD)","Financial Services"
"PeopleJoy","-","-","-","-","Financial Services"
"iraLogix, LLC","-","-","-","-","-"
"EZanga","-","-","11 to 50","$5M to $25M (USD)","-"
"Blink Identity","-","-","-","-","-"
"Capture Higher Ed","-","-","11 to 50","$1M to $5M (USD)","-"
"Mobile Doorman","-","-","-","-","-"
"Machfu","-","-","-","-","Information Technology"
"TABS Analytics","-","-","11 to 50","-","-"
"Borrowworks","-","-","51 to 200","-","-"
"PeraHealth","-","-","-","-","-"
"DocsInk","-","-","-","-","-"
"3Box","-","-","-","-","-"
"Inspirave","-","-","11 to 50","-","Financial Services"
"Pixeom","-","-","51 to 200","-","-"
"PayPerks","-","-","11 to 50","less than
$1M (USD)","-"
"EveryMundo","-","-","-","-","-"
"Customer Portfolios","-","-","-","-","-"
"MyRx365","-","-","-","-","-"
"GeoSpark Analytics","-","-","11 to 50","less than
$1M (USD)","-"
"TL Connects","-","-","11 to 50","-","-"
"ConnexPay","-","-","-","-","-"
"Obsess","-","-","-","-","Information Technology"
"CarAdvise","-","2016","11 to 50","-","-"
"Real Magic","-","-","-","-","-"
"SummitSync","-","-","11 to 50","-","-"
"Upsie","-","-","-","-","-"
"Transmit.Live","-","-","11 to 50","-","-"
"Totum Risk","-","-","-","-","-"
"Vytalize Health","-","-","51 to 200","-","-"
"Security Innovation","-","-","-","-","-"
"Mio","-","-","11 to 50","-","-"
"Eventdex","-","-","11 to 50","-","-"
"AdminaHealth","-","-","-","-","Financial Services"
"Harri","-","-","11 to 50","-","Information Technology"
"Voziq","-","2012","11 to 50","-","-"
"sirl","-","-","11 to 50","-","-"
"Third Eye Health","-","-","-","-","Healthcare"
"VirtualApt","-","-","less than
10","less than
$1M (USD)","Information Technology"
"GetIntent","-","-","-","-","-"
"Bitbond","-","-","-","-","-"
"NowPow","-","-","11 to 50","-","-"
"Micruity","-","-","-","-","-"
"Fellow","-","-","less than
10","-","-"
"Blackstraw","-","-","11 to 50","-","-"
"Agnik","-","-","11 to 50","less than
$1M (USD)","-"
"LandscapeHub","-","-","-","-","Information Technology"
"Famacash","-","-","-","-","-"
"KnowledgeHound","-","-","11 to 50","-","-"
"Hurdlr","-","-","-","-","-"
"OThot","-","-","11 to 50","-","-"
"Employee Navigator","-","2008","11 to 50","-","-"
"Truelytics","-","-","-","-","-"
"Essium","-","-","-","-","Food & Beverage Manufacturing"
"Lavu","-","1976","501 to 1,000","$5M to $25M (USD)","-"
"Knowledge to Practice","-","-","less than
10","less than
$1M (USD)","Healthcare"
"Roomors","-","-","-","-","Real Estate Agencies"
"Swoop","-","-","less than
10","less than
$1M (USD)","-"
"emocha Mobile Health Inc.","-","-","-","-","-"
"Percent Pledge","-","-","-","-","-"
"SkySync","-","2011","51 to 200","-","Information Technology"
"THE GUILD","Brian Carrico & Chris Herndon","2016","51 to 200","-","Hotels & Travel Accommodation"
"OpenIAM LLC","-","-","51 to 200","-","Information Technology"
"EidoSearch","-","-","-","-","-"
"Promoter.io","-","-","less than
10","less than
$1M (USD)","-"
"Rooam","-","-","11 to 50","-","-"
"BondLink","-","2015","11 to 50","-","-"
"Klarity","-","-","11 to 50","-","-"
"Vnomics","-","-","-","-","-"
"Risalto Health","-","-","-","-","-"
"MarketMuse","-","2014","11 to 50","-","-"
"Galileo","-","-","11 to 50","-","Agriculture"
"freshbenies","-","-","-","-","-"
"HCP Concierge","-","-","11 to 50","-","Pharmaceutical & Biotechnology"
"Audigent","-","-","-","-","-"
"Gemstone payments LLC","-","-","-","-","-"
"OnSomble","-","-","-","-","-"
"Apptopia","-","-","-","-","-"
"Premium Technology","-","-","-","-","-"
"LiveHelpNow","-","-","-","-","-"
"TENANT TRACKER","-","-","-","-","-"
"Reverie Labs","-","-","-","-","-"
"Sertainty","-","-","-","-","-"
"Loris.ai","-","-","-","-","-"
"BILT Incorporated","-","-","11 to 50","-","Information Technology"
"Elucidata","-","-","11 to 50","-","-"
"TruCode","-","-","-","-","-"
"whiskerDocs","-","-","11 to 50","-","-"
"Mobile Tech RX","-","-","11 to 50","-","Automotive"
"Sherpa","-","-","11 to 50","-","Human Resources & Staffing"
"Incentilock","-","-","-","-","-"
"inkind","-","-","-","-","-"
"CURU","-","-","11 to 50","-","-"
"Beaconcure","-","-","-","-","-"
"PerformYard","-","2013","11 to 50","-","-"
"WorkHound","-","2015","11 to 50","-","-"
"PlainID","-","-","11 to 50","-","-"
"PracticeAdmin","-","2000","less than
10","$1M to $5M (USD)","-"
"BioDigital","-","-","-","-","-"
"RevBoss","-","-","11 to 50","-","-"
"CompetiScan","-","2006","less than
10","$1M to $5M (USD)","-"
"Fritz","-","-","-","-","-"
"MSIGHTS","-","2004","11 to 50","$1M to $5M (USD)","-"
"DadeSystems","-","-","-","-","-"
"Megalytics","-","-","11 to 50","-","-"
"SupplyCopia","-","-","-","-","-"
"Gravity Software","-","-","-","-","Information Technology"
"Arrowlytics","-","-","11 to 50","-","-"
"Ntracts","-","-","-","-","-"
"Digital Retail Apps","-","-","-","-","-"
"ClientScape","-","-","-","-","-"
"Cleeng","-","2011","11 to 50","$5B to $10B (USD)","-"
"Next Caller","-","2012","11 to 50","$1M to $5M (USD)","-"
"Hibersense","-","2015","less than
10","less than
$1M (USD)","-"
"Punchbowl","Matt Douglas","-","11 to 50","-","Information Technology"
"Repsly","-","2010","11 to 50","$1M to $5M (USD)","-"
"Clinical Architecture","-","2007","11 to 50","$1M to $5M (USD)","-"
"advocado","-","-","-","-","Information Technology"
"SecondKeys","-","-","-","-","-"
"DiligenceVault","-","-","-","-","-"
"Financial Network Inc.","-","-","-","-","-"
"MPOWER Financing","-","2014","11 to 50","-","-"
"M2 Media Group","-","-","51 to 200","-","-"
"LBi Software","Richard Teed","1982","51 to 200","$5M to $25M (USD)","Information Technology"
"ProcessMaker","-","-","51 to 200","-","-"
